name,wgms_id,rgi_id,cenlon,cenlat,rgi_reg_name,imageid,targetmonth,imagedate,cloudcover,cloudpct_roi,snowcoverarea_km2_gee,snowcoverarea_error_km2,totalarea_km2_gee,totalarea_error_km2,aar_gee,snowline_m_gee,snowline_error_m,bimodalok,rejectionreason,classbalance,peakbalance
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152032_20080813_20200829_02_T1,9,8/13/08,1,2.767250203,8.565523393,0.599586638,20.92921164,0.627876349,0.409261636,4243.997882,42.43997882,1,ok,0.412087353,0.516721863
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152032_20091019_20200825_02_T1,9,10/19/09,2,3.237777485,19.40910962,1.358637674,21.94368492,0.658310547,0.884496369,3931.995383,39.31995383,1,ok,0.112839198,0.128100873
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152032_20100904_20200823_02_T1,9,9/4/10,1,3.516786721,15.83271728,1.10829021,21.43441337,0.643032401,0.738658764,4099.96305,40.9996305,1,ok,0.259865797,0.371244803
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152032_20110907_20200820_02_T1,9,9/7/11,0,3.390611723,12.59519491,0.881663644,21.21364377,0.636409313,0.593730858,4172.326568,41.72326568,1,ok,0.403960396,0.750953978
Abramov,732,RGI2000-v7.0-G-13-02620,71.56986237,39.60969925,"13: Asia, Central",LT05_L2SP_152033_19990805_20200907_02_T1,9,8/5/99,1,1.305141024,19.68960995,1.378272697,22.33263436,0.669979031,0.88165192,3964.217193,39.64217193,1,ok,0.116645298,0.21583522
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LC08_L2SP_201017_20150909_20200908_02_T1,9,9/9/15,5.69,6.558717508,3.062517188,0.214376203,4.00671616,0.120201485,0.764345929,1133.09899,11.3309899,1,ok,0.223309692,0.397597793
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LC08_L2SP_201017_20191006_20200825_02_T1,9,10/6/19,2.84,0,3.055598977,0.213891928,4.186530755,0.125595923,0.729864213,1135.174298,11.35174298,1,ok,0.266975373,0.344166181
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LC08_L2SP_201017_20240901_20240906_02_T1,9,9/1/24,2.75,26.60228851,1.602890726,0.112202351,3.124911722,0.093747352,0.512939522,1243.10424,12.4310424,1,ok,0.484406079,0.569536424
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LC08_L2SP_202017_20130926_20200912_02_T1,9,9/26/13,13.38,11.12443652,2.625715339,0.183800074,3.784471929,0.113534158,0.693812872,1170.907046,11.70907046,1,ok,0.303181141,0.292075943
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LC08_L2SP_202017_20161004_20200906_02_T1,9,10/4/16,3.82,7.640802522,3.011749423,0.21082246,3.987282957,0.119618489,0.755338775,1138.917584,11.38917584,1,ok,0.242122456,0.210084034
